response_id,moment_id,user_id,"opinion","emotion","heartrate",userTestNumber
278,857,127,"down","unhappy","",3
279,857,126,"down","angry","",3
281,857,128,"down","angry","",3
282,859,126,"down","surprise","",3
283,860,126,"down","worry","",3
285,861,126,"down","worry","",3
286,861,127,"down","angry","",3
289,866,127,"down","angry","",3
290,866,126,"down","unhappy","",3
291,866,128,"down","angry","",3
295,867,128,"up","elation","",3
296,867,126,"up","connected","",3
297,868,126,"up","elation","",3
298,869,126,"up","elation","",3
299,869,127,"up","elation","",3
300,870,128,"up","connected","",3
301,870,126,"up","elation","",3
302,870,127,"up","elation",NULL,3
303,871,128,"up","connected","",3
304,872,126,"up","connected","",3
305,872,127,"up","surprise",NULL,3
306,873,131,"up","connected","",4
307,874,131,"up","elation","",4
308,873,129,"up","angry",NULL,4
309,875,130,"up","connected","",4
310,875,129,"up","unhappy",NULL,4
311,875,131,"up","surprise",NULL,4
312,876,130,"down","angry","",4
313,876,129,"down","angry","",4
314,876,131,"up","connected",NULL,4
315,877,129,"down","angry","",4
316,877,130,"down","unhappy","",4
317,878,129,"up","surprise","",4
318,878,130,"down","worry","",4
319,880,131,"up","elation","",4
321,880,129,"up","elation",NULL,4
322,881,131,"up","connected","",4
323,881,129,"up","connected",NULL,4
324,882,131,"down","unhappy","",4
325,882,129,"down","angry",NULL,4
326,882,130,"up","connected","",4
329,885,131,"up","connected","",4
330,885,130,"up","elation","",4
331,885,129,"up","elation",NULL,4
332,886,131,"up","worry","",4
333,887,131,"up","connected","",4
334,886,129,"up","elation",NULL,4
335,887,129,"up","connected",NULL,4
336,888,130,"down","surprise","",4
337,889,131,"up","elation","",4
338,888,129,"up","elation",NULL,4
339,889,129,"up","angry",NULL,4
340,890,133,"up","connected","",5
341,890,132,"up","angry","",5
342,892,132,"down","angry","",5
343,890,134,"down","connected",NULL,5
344,893,133,"down","angry","",5
345,893,132,"down","angry","",5
347,894,132,"up","connected","",5
348,893,134,"down","angry",NULL,5
349,895,132,"up","elation","",5
350,894,134,"down","elation",NULL,5
351,894,133,"down","surprise",NULL,5
352,896,133,"down","unhappy","",5
353,896,134,"up","surprise","",5
354,896,132,"down","surprise","",5
355,897,132,"up","connected","",5
356,897,133,"up","worry","",5
357,897,134,"up","worry",NULL,5
358,898,133,"up","elation","",5
359,898,134,"up","connected","",5
360,898,132,"up","connected","",5
361,900,133,"down","angry","",5
362,900,134,"down","angry","",5
364,900,132,"up","connected",NULL,5
365,901,134,"up","elation","",5
366,901,133,"up","worry",NULL,5
367,901,132,"up","angry",NULL,5
368,902,132,"up","connected","",5
369,902,133,"up","surprise","",5
370,902,134,"down","angry",NULL,5
371,903,133,"up","connected","",5
372,904,134,"up","connected","",5
373,903,134,"up","connected",NULL,5
374,904,132,"down","surprise",NULL,5
375,905,133,"up","elation","",5
376,905,132,"up","connected","",5
377,905,134,"up","connected","",5
379,908,134,"up","connected","",5
381,909,134,"down","surprise","",5
382,909,133,"down","angry","",5
383,910,134,"up","connected","",5
384,909,132,"up","worry",NULL,5
385,911,135,"down","angry","",6
386,912,135,"up","connected","",6
387,912,137,"down","unhappy","",6
388,911,136,"down","connected",NULL,6
389,914,135,"up","connected","",6
390,915,137,"down","unhappy","",6
391,916,137,"down","angry","",6
392,916,135,"down","unhappy","",6
393,914,136,"up","elation",NULL,6
399,917,135,"up","connected","",6
400,917,136,"down","worry","",6
401,919,135,"down","worry","",6
403,920,136,"up","elation","",6
404,920,135,"down","surprise","",6
405,922,135,"up","connected","",6
407,922,137,"up","worry","",6
411,924,135,"up","elation","",6
412,924,137,"up","connected","",6
413,924,136,"up","elation","",6
415,926,137,"up","elation","",6
416,927,136,"down","unhappy","",6
417,927,135,"down","unhappy","",6
418,927,137,"down","unhappy","",6
419,929,135,"down","worry","",6
420,930,136,"up","surprise","",6
421,930,137,"down","worry","",6
422,929,136,"up","surprise",NULL,6
424,932,136,"down","angry","",6
425,932,135,"down","unhappy","",6
426,932,137,"down","angry","",6
427,933,136,"down","angry","",6
428,934,136,"up","elation","",6
429,934,135,"up","elation","",6
430,935,137,"up","connected","",6
431,935,136,"down","worry","",6
432,937,135,"up","elation","",6
433,937,136,"up","elation","",6
434,938,137,"up","connected","",6
436,938,136,"up","connected","",6
437,938,135,"up","connected","",6
439,942,135,"down","surprise","",6
440,943,137,"up","surprise","",6
441,944,135,"up","elation","",6
442,944,136,"up","elation","",6
444,946,139,"up","connected","",7
445,947,139,"down","angry","",7
446,947,138,"down","unhappy","",7
447,948,139,"down","surprise","",7
448,948,138,"down","surprise","",7
449,949,139,"up","connected","",7
450,950,138,"up","connected","",7
451,950,139,"up","elation","",7
452,951,139,"down","unhappy","",7
453,951,138,"down","unhappy","",7
454,952,138,"up","elation","",7
455,952,139,"up","connected","",7
456,953,138,"up","connected","",7
457,953,139,"up","connected","",7
458,954,138,"down","surprise","",7
459,955,141,"up","connected","",8
460,955,140,"down","elation","",8
461,956,141,"down","unhappy","",8
462,957,141,"down","worry","",8
463,957,140,"down","surprise","",8
464,958,141,"up","surprise","",8
465,959,140,"down","surprise","",8
466,960,141,"up","elation","",8
467,960,140,"up","connected","",8
468,961,141,"up","connected","",8
469,962,140,"down","angry","",8
470,962,141,"down","angry","",8
471,963,140,"up","elation","",8
472,964,141,"down","angry","",8
473,965,141,"down","surprise","",8
474,966,140,"up","connected","",8
475,966,141,"up","elation","",8
476,967,141,"up","connected","",8
477,967,140,"up","elation","",8
478,968,140,"down","angry","",8
479,969,142,"up","connected","",9
480,970,143,"down","surprise","",9
481,970,142,"down","angry","",9
482,971,143,"up","connected","",9
483,972,143,"up","connected","",9
484,973,143,"up","connected","",9
485,973,142,"up","elation","",9
486,974,143,"down","unhappy","",9
487,975,143,"down","angry","",9
488,975,142,"down","surprise","",9
489,976,143,"up","angry","",9
490,976,142,"up","surprise","",9
491,977,142,"up","connected","",9
492,978,142,"down","angry","",9
493,978,143,"down","surprise",NULL,9
496,979,148,"down","elation",NULL,10
497,981,148,"up","connected","",10
498,981,147,"up","elation","",10
499,982,148,"up","connected","",10
500,982,147,"up","connected",NULL,10
501,983,147,"up","surprise","",10
502,984,147,"down","worry","",10
503,985,148,"up","connected","",10
504,986,148,"up","elation","",10
505,986,147,"up","elation","",10
506,985,147,"down","angry",NULL,10
507,987,148,"down","angry","",10
508,987,147,"down","unhappy",NULL,10
509,988,147,"down","surprise","",10
510,989,147,"down","worry","",10
511,990,148,"down","angry","",10
512,990,147,"down","unhappy",NULL,10
513,991,147,"up","connected","",10
514,992,148,"up","connected","",10
515,992,147,"up","elation",NULL,10
516,993,147,"up","connected","",10
517,993,148,"up","connected","",10
518,994,147,"down","angry","",10
519,995,147,"up","connected","",10
520,979,147,"down","worry","",10
521,980,147,"down","elation","",10
522,996,149,"down","worry","",11
523,996,150,"down","angry","",11
524,997,150,"up","connected","",11
525,997,149,"up","connected","",11
526,998,150,"down","unhappy","",11
527,999,149,"up","connected","",11
528,999,150,"up","elation","",11
529,1000,149,"down","connected","",11
530,1000,150,"down","elation","",11
531,1001,149,"down","angry","",11
532,1002,150,"up","connected","",11
533,1002,149,"down","unhappy","",11
534,1003,149,"up","elation","",11
535,1003,150,"up","connected","",11
536,1004,149,"up","connected","",11
537,1005,149,"down","surprise","",11
538,1005,150,"down","angry","",11
539,1006,151,"up","connected","",12
540,1006,152,"up","surprise",NULL,12
541,1007,152,"down","angry","",12
542,1008,152,"up","elation","",12
543,1008,151,"up","elation","",12
544,1009,152,"down","unhappy","",12
545,1010,152,"down","angry","",12
546,1011,151,"up","connected","",12
547,1012,151,"down","surprise","",12
548,1013,153,"down","angry","",13
549,1014,153,"down","surprise","",13
550,1015,153,"up","surprise","",13
551,1016,153,"down","unhappy","",13
