moment_id,user_id,match_id,time,"real_time",multiple_users,userTestNumber
896,133,1,194000,"47:45",1,5
897,132,1,230000,"48:22",1,5
898,133,1,267000,"49:42",1,5
900,133,1,343000,"67:27",1,5
901,134,1,416000,"68:48",1,5
902,132,1,491000,"71:48",1,5
903,133,1,538000,"76:15",1,5
904,134,1,548000,"76:25",1,5
905,133,1,625000,"78:07",1,5
908,134,1,646000,"78:28",0,5
909,134,1,709000,"91:33",1,5
910,134,1,727000,"95:10",0,5
911,135,1,26000,"00:20",1,6
912,135,1,50000,"14:14",0,6
914,135,1,82000,"35:25",1,6
915,137,1,88000,"35:31",0,6
916,137,1,115000,"38:05",1,6
917,135,1,137000,"41:20",1,6
919,135,1,160000,"44:18",0,6
920,136,1,182000,"47:33",0,6
922,135,1,225000,"48:17",0,6
924,135,1,267000,"49:42",1,6
926,137,1,299000,"50:14",0,6
927,136,1,342000,"67:26",1,6
929,135,1,400000,"68:32",1,6
930,136,1,411000,"68:43",0,6
932,136,1,489000,"71:46",1,6
933,136,1,519000,"72:16",0,6
934,136,1,533000,"76:10",1,6
935,137,1,547000,"76:24",0,6
937,135,1,624000,"78:06",1,6
938,137,1,630000,"78:12",0,6
942,135,1,703000,"91:27",0,6
943,137,1,713000,"91:37",0,6
944,135,1,722000,"95:05",1,6
946,139,1,52000,"14:16",0,7
947,139,1,112000,"38:02",1,7
948,139,1,193000,"47:44",1,7
949,139,1,228000,"48:20",0,7
950,138,1,271000,"49:46",1,7
951,139,1,344000,"67:28",1,7
952,138,1,544000,"76:21",1,7
953,138,1,629000,"78:11",1,7
954,138,1,706000,"91:30",0,7
955,141,1,53000,"14:17",1,8
956,141,1,88000,"35:31",0,8
957,141,1,111000,"38:01",1,8
958,141,1,154000,"44:12",0,8
959,140,1,199000,"47:50",0,8
960,141,1,227000,"48:19",1,8
961,141,1,271000,"49:46",0,8
962,140,1,343000,"67:27",1,8
963,140,1,414000,"68:46",0,8
964,141,1,447000,"70:21",0,8
965,141,1,489000,"71:46",0,8
966,140,1,539000,"76:16",1,8
967,141,1,628000,"78:10",1,8
968,140,1,704000,"91:28",0,8
969,142,1,80000,"35:23",0,9
970,143,1,114000,"38:04",1,9
971,143,1,157000,"44:15",0,9
972,143,1,233000,"48:25",0,9
973,143,1,270000,"49:45",1,9
974,143,1,348000,"67:32",0,9
975,143,1,489000,"71:46",1,9
976,143,1,541000,"76:18",1,9
977,142,1,624000,"78:06",0,9
978,142,1,701000,"91:25",1,9
979,147,1,7000,"00:01",1,10
980,147,1,42000,"14:06",1,10
981,148,1,97000,"35:40",1,10
982,148,1,116000,"38:06",1,10
983,147,1,188000,"47:39",0,10
984,147,1,220000,"48:12",0,10
985,148,1,240000,"48:32",1,10
986,148,1,270000,"49:45",1,10
987,148,1,348000,"67:32",1,10
988,147,1,409000,"68:41",0,10
989,147,1,469000,"70:43",0,10
990,148,1,496000,"71:53",1,10
991,147,1,535000,"76:12",0,10
992,148,1,556000,"76:33",1,10
993,147,1,625000,"78:07",1,10
994,147,1,702000,"91:26",0,10
995,147,1,723000,"95:06",0,10
996,149,1,111000,"38:01",1,11
997,150,1,159000,"44:17",1,11
998,150,1,192000,"47:43",0,11
999,149,1,267000,"49:42",1,11
1000,149,1,422000,"68:54",1,11
1001,149,1,459000,"70:33",0,11
1002,150,1,488000,"71:45",1,11
1003,149,1,540000,"76:17",1,11
1004,149,1,670000,"78:52",0,11
1005,149,1,706000,"91:30",1,11
1006,151,1,81000,"35:24",1,12
1007,152,1,112000,"38:02",0,12
1008,152,1,269000,"49:44",1,12
1009,152,1,349000,"67:33",0,12
1010,152,1,496000,"71:53",0,12
1011,151,1,650000,"78:32",0,12
1012,151,1,704000,"91:28",0,12
1013,153,1,86000,"35:29",0,13
1014,153,1,194000,"47:45",0,13
1015,153,1,625000,"78:07",0,13
1016,153,1,707000,"91:31",0,13
